,car_model,year_of_manufacture,price,fuel,Unnamed: 0
0,alto 800,2017,4253.73,Petrol,
1,ciaz,2015,10223.88,Diesel,
2,ciaz,2015,11194.03,Petrol,
3,ertiga,2015,9104.48,Petrol,
4,dzire,2009,3358.21,Petrol,
5,ertiga,2016,11567.16,Diesel,
6,ertiga,2015,10820.9,Diesel,
7,ertiga,2016,11567.16,Diesel,
8,wagon r,2015,4850.75,CNG,
9,sx4,2010,3955.22,Petrol,
10,alto k10,2016,4253.73,Petrol,0.0
11,ignis,2017,7313.43,Petrol,1.0
12,sx4,2011,6567.16,Petrol,2.0
13,alto k10,2014,3731.34,Petrol,3.0
14,wagon r,2013,4328.36,Petrol,4.0
15,swift,2011,4477.61,Petrol,5.0
16,swift,2013,6194.03,Petrol,6.0
17,swift,2017,8955.22,Petrol,7.0
18,alto k10,2010,2910.45,Petrol,8.0
19,ciaz,2015,11119.4,Diesel,9.0
20,ritz,2014,5000.0,Petrol,10.0
21,sx4,2013,7089.55,Diesel,11.0
22,ciaz,2017,10820.9,Petrol,12.0
23,wagon r,2011,4253.73,Petrol,13.0
24,swift,2014,6865.67,Diesel,14.0
25,vitara brezza,2018,13805.97,Diesel,15.0
26,ciaz,2015,10074.63,Petrol,16.0
27,s cross,2015,9701.49,Diesel,17.0
28,ciaz,2016,13059.7,Diesel,18.0
29,ciaz,2015,11119.4,Diesel,19.0
30,alto 800,2017,4253.73,Petrol,20.0
31,ciaz,2015,10223.88,Diesel,21.0
32,ciaz,2015,11194.03,Petrol,22.0
33,ertiga,2015,9104.48,Petrol,23.0
34,dzire,2009,3358.21,Petrol,24.0
35,ertiga,2016,11567.16,Diesel,25.0
36,ertiga,2015,10820.9,Diesel,26.0
37,ertiga,2016,11567.16,Diesel,27.0
38,wagon r,2015,4850.75,CNG,28.0
39,sx4,2010,3955.22,Petrol,29.0
40,fortuner,2012,22238.81,Diesel,30.0
41,fortuner,2015,34328.36,Diesel,31.0
42,innova,2017,26865.67,Diesel,32.0
43,fortuner,2013,23880.6,Diesel,33.0
44,innova,2005,4104.48,Petrol,34.0
45,corolla altis,2009,5373.13,Petrol,35.0
46,etios cross,2015,6716.42,Petrol,36.0
47,corolla altis,2010,7089.55,Petrol,37.0
48,etios g,2014,6119.4,Petrol,38.0
49,fortuner,2014,29835.82,Diesel,39.0
50,ritz,2012,4626.87,Diesel,40.0
51,ritz,2011,3507.46,Petrol,41.0
52,swift,2014,7388.06,Diesel,42.0
53,ertiga,2014,8955.22,Diesel,43.0
54,dzire,2014,8208.96,Diesel,44.0
55,sx4,2011,4402.99,CNG,45.0
56,dzire,2015,6940.3,Petrol,46.0
57,800,2003,522.39,Petrol,47.0
58,alto k10,2016,4477.61,Petrol,48.0
59,sx4,2003,3358.21,Petrol,49.0
60,baleno,2016,8731.34,Petrol,50.0
61,alto k10,2014,3805.97,Petrol,51.0
62,sx4,2008,2910.45,Petrol,52.0
63,dzire,2014,8208.96,Diesel,53.0
64,omni,2012,1865.67,Petrol,54.0
65,ciaz,2014,11194.03,Petrol,55.0
66,ritz,2013,3955.22,Petrol,56.0
67,wagon r,2006,1567.16,Petrol,57.0
68,ertiga,2015,8656.72,Petrol,58.0
69,ciaz,2017,11567.16,Petrol,59.0
70,corolla altis,2016,21985.07,Diesel,60.0
71,etios gd,2015,7089.55,Diesel,61.0
72,innova,2017,34328.36,Diesel,62.0
73,innova,2015,18656.72,Diesel,63.0
74,innova,2005,5208.96,Diesel,64.0
75,camry,2006,3731.34,Petrol,65.0
76,land cruiser,2010,52238.81,Diesel,66.0
77,corolla altis,2012,8805.97,Petrol,67.0
78,etios liva,2013,5149.25,Petrol,68.0
79,etios g,2014,7089.55,Petrol,69.0
80,etios liva,2014,5895.52,Diesel,70.0
81,corolla altis,2011,6716.42,Diesel,71.0
82,corolla altis,2013,11119.4,Petrol,72.0
83,etios liva,2011,3955.22,Petrol,73.0
84,etios cross,2014,7313.43,Diesel,74.0
85,etios g,2015,5895.52,Petrol,75.0
86,corolla altis,2013,8208.96,Petrol,76.0
87,corolla,2004,2238.81,Petrol,77.0
88,corolla altis,2010,7835.82,Petrol,78.0
89,fortuner,2012,21641.79,Diesel,79.0
90,corolla altis,2013,10373.13,Petrol,80.0
91,etios cross,2015,6716.42,Petrol,81.0
92,fortuner,2014,27985.07,Diesel,82.0
93,fortuner,2015,35074.63,Diesel,83.0
94,fortuner,2017,49253.73,Diesel,84.0
95,etios liva,2014,7089.55,Diesel,85.0
96,innova,2017,29477.61,Petrol,86.0
97,fortuner,2010,13805.97,Diesel,87.0
98,corolla altis,2011,6492.54,Petrol,88.0
99,corolla altis,2016,21268.66,Petrol,89.0
100,ritz,2014,5000.0,Petrol,
101,sx4,2013,7089.55,Diesel,
102,ciaz,2017,10820.9,Petrol,
103,wagon r,2011,4253.73,Petrol,
104,swift,2014,6865.67,Diesel,
105,vitara brezza,2018,13805.97,Diesel,
106,ciaz,2015,10074.63,Petrol,
107,s cross,2015,9701.49,Diesel,
108,ciaz,2016,13059.7,Diesel,
109,ciaz,2015,11119.4,Diesel,
110,alto k10,2016,4253.73,Petrol,
111,ignis,2017,7313.43,Petrol,
112,sx4,2011,6567.16,Petrol,
113,alto k10,2014,3731.34,Petrol,
114,wagon r,2013,4328.36,Petrol,
115,swift,2011,4477.61,Petrol,
116,swift,2013,6194.03,Petrol,
117,swift,2017,8955.22,Petrol,
